"","CCAA.Codigo.ISO","ISO2","Fecha","Casos","Hospitalizados","UCI","Fallecidos","Recuperados","Casos_24h","Casos_Porc24h","Casos_Porcvar","Hospitalizados_24h","Hospitalizados_Porc24h","Hospitalizados_Porcvar","UCI_24h","UCI_Porc24h","UCI_Porcvar","Fallecidos_24h","Fallecidos_Porc24h","Fallecidos_Porcvar","Recuperados_24h","Recuperados_Porc24h","Recuperados_Porcvar","tmstamp"
"1","ES","ES",2020-02-20,2,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"2","ES","ES",2020-02-21,2,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"3","ES","ES",2020-02-22,2,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"4","ES","ES",2020-02-23,2,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"5","ES","ES",2020-02-24,3,0,0,0,0,1,0.5,Inf,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"6","ES","ES",2020-02-25,10,0,0,0,0,7,2.33333333333333,3.666667,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"7","ES","ES",2020-02-26,16,0,0,0,0,6,0.6,-0.742857,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"8","ES","ES",2020-02-27,29,0,0,0,0,13,0.8125,0.354167,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"9","ES","ES",2020-02-28,43,0,0,0,0,14,0.482758620689655,-0.405836,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"10","ES","ES",2020-02-29,65,0,0,0,0,22,0.511627906976744,0.059801,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"11","ES","ES",2020-03-01,113,0,0,0,0,48,0.738461538461539,0.443357,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"12","ES","ES",2020-03-02,148,0,0,0,0,35,0.309734513274336,-0.580568,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"13","ES","ES",2020-03-03,194,0,0,0,0,46,0.310810810810811,0.003475,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"14","ES","ES",2020-03-04,238,0,0,0,0,44,0.22680412371134,-0.270282,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"15","ES","ES",2020-03-05,364,0,0,0,0,126,0.529411764705882,1.334225,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"16","ES","ES",2020-03-06,386,0,0,0,0,22,0.0604395604395604,-0.885836,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"17","ES","ES",2020-03-07,526,0,0,0,0,140,0.362694300518135,5.000942,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"2020-04-06 10:25:29 UTC"
"18","ES","ES",2020-03-08,1006,0,74,28,23,480,0.91254752851711,1.516024,0,NA,NA,74,NA,NA,28,NA,NA,23,NA,NA,"2020-04-06 10:25:29 UTC"
"19","ES","ES",2020-03-09,1606,0,101,36,135,600,0.596421471172962,-0.346421,0,NA,NA,27,0.364864864864865,NA,8,0.285714285714286,NA,112,4.8695652173913,NA,"2020-04-06 10:25:29 UTC"
"20","ES","ES",2020-03-10,2117,236,142,48,182,511,0.318181818181818,-0.466515,236,NA,NA,41,0.405940594059406,0.112578,12,0.333333333333333,0.166667,47,0.348148148148148,-0.928505,"2020-04-06 10:25:29 UTC"
"21","ES","ES",2020-03-11,2929,399,188,84,189,812,0.383561643835616,0.205479,163,0.690677966101695,NA,46,0.323943661971831,-0.201992,36,0.75,1.25,7,0.0384615384615385,-0.889525,"2020-04-06 10:25:29 UTC"
"22","ES","ES",2020-03-12,4130,1858,270,120,181,1201,0.410037555479686,0.069026,1459,3.65664160401003,4.294279,82,0.436170212765957,0.346438,36,0.428571428571429,-0.428571,-8,-0.0423280423280423,-2.100529,"2020-04-06 10:25:29 UTC"
"23","ES","ES",2020-03-13,5844,2120,296,134,512,1714,0.41501210653753,0.012132,262,0.141011840688913,-0.961437,26,0.0962962962962963,-0.779223,14,0.116666666666667,-0.727778,331,1.82872928176796,-44.203729,"2020-04-06 10:25:29 UTC"
"24","ES","ES",2020-03-14,7698,3096,383,285,517,1854,0.317248459958932,-0.235568,976,0.460377358490566,2.264813,87,0.293918918918919,2.052235,151,1.12686567164179,8.658849,5,0.009765625,-0.99466,"2020-04-06 10:25:29 UTC"
"25","ES","ES",2020-03-15,9149,3435,416,306,530,1451,0.188490517017407,-0.405858,339,0.109496124031008,-0.76216,33,0.0861618798955614,-0.706852,21,0.0736842105263158,-0.934611,13,0.0251450676982592,1.574855,"2020-04-06 10:25:29 UTC"
"26","ES","ES",2020-03-16,11178,5136,563,491,1028,2029,0.22177287135206,0.176573,1701,0.495196506550218,3.522503,147,0.353365384615385,3.10118,185,0.604575163398693,7.204949,498,0.939622641509434,36.36807,"2020-04-06 10:25:29 UTC"
"27","ES","ES",2020-03-17,13716,5759,774,598,1081,2538,0.227053140096618,0.023809,623,0.12130062305296,-0.755045,211,0.374777975133215,0.060596,107,0.217922606924644,-0.639544,53,0.051556420233463,-0.945131,"2020-04-06 10:25:29 UTC"
"28","ES","ES",2020-03-18,17147,7619,939,767,1107,3431,0.250145815106445,0.101706,1860,0.322972738322625,1.662581,165,0.213178294573643,-0.431188,169,0.282608695652174,0.296831,26,0.0240518038852914,-0.533486,"2020-04-06 10:25:29 UTC"
"29","ES","ES",2020-03-19,19980,10418,1125,982,1545,2833,0.165218405551992,-0.339512,2799,0.367371046069038,0.137468,186,0.198083067092652,-0.07081,215,0.280312907431552,-0.008124,438,0.395663956639566,15.45049,"2020-04-06 10:25:29 UTC"
