"CCAA.Codigo.ISO","Fecha","Casos","Hospitalizados","UCI","Fallecidos","Recuperados","X"
"AN",2020-02-20,NA,NA,NA,NA,NA,NA
"AR",2020-02-20,NA,NA,NA,NA,NA,NA
"AS",2020-02-20,NA,NA,NA,NA,NA,NA
"IB",2020-02-20,1,NA,NA,NA,NA,NA
"CN",2020-02-20,1,NA,NA,NA,NA,NA
"CB",2020-02-20,NA,NA,NA,NA,NA,NA
"CM",2020-02-20,NA,NA,NA,NA,NA,NA
"CL",2020-02-20,0,NA,NA,NA,NA,NA
"CT",2020-02-20,NA,NA,NA,NA,NA,NA
"CE",2020-02-20,NA,NA,NA,NA,NA,NA
"VC",2020-02-20,NA,NA,NA,NA,NA,NA
"EX",2020-02-20,NA,NA,NA,NA,NA,NA
"GA",2020-02-20,NA,NA,NA,NA,NA,NA
"MD",2020-02-20,NA,NA,NA,NA,NA,NA
"ME",2020-02-20,NA,NA,NA,NA,NA,NA
"MC",2020-02-20,NA,NA,NA,NA,NA,NA
"NC",2020-02-20,NA,NA,NA,NA,NA,NA
"PV",2020-02-20,NA,NA,NA,NA,NA,NA
"RI",2020-02-20,NA,NA,NA,NA,NA,NA
"AN",2020-02-21,NA,NA,NA,NA,NA,NA
"AR",2020-02-21,NA,NA,NA,NA,NA,NA
"AS",2020-02-21,NA,NA,NA,NA,NA,NA
"IB",2020-02-21,1,NA,NA,NA,NA,NA
"CN",2020-02-21,1,NA,NA,NA,NA,NA
"CB",2020-02-21,NA,NA,NA,NA,NA,NA
"CM",2020-02-21,NA,NA,NA,NA,NA,NA
"CL",2020-02-21,0,NA,NA,NA,NA,NA
"CT",2020-02-21,NA,NA,NA,NA,NA,NA
"CE",2020-02-21,NA,NA,NA,NA,NA,NA
"VC",2020-02-21,NA,NA,NA,NA,NA,NA
"EX",2020-02-21,NA,NA,NA,NA,NA,NA
"GA",2020-02-21,NA,NA,NA,NA,NA,NA
"MD",2020-02-21,NA,NA,NA,NA,NA,NA
"ME",2020-02-21,NA,NA,NA,NA,NA,NA
"MC",2020-02-21,NA,NA,NA,NA,NA,NA
"NC",2020-02-21,NA,NA,NA,NA,NA,NA
"PV",2020-02-21,NA,NA,NA,NA,NA,NA
"RI",2020-02-21,NA,NA,NA,NA,NA,NA
"AN",2020-02-22,NA,NA,NA,NA,NA,NA
"AR",2020-02-22,NA,NA,NA,NA,NA,NA
"AS",2020-02-22,NA,NA,NA,NA,NA,NA
"IB",2020-02-22,1,NA,NA,NA,NA,NA
"CN",2020-02-22,1,NA,NA,NA,NA,NA
"CB",2020-02-22,NA,NA,NA,NA,NA,NA
"CM",2020-02-22,NA,NA,NA,NA,NA,NA
"CL",2020-02-22,0,NA,NA,NA,NA,NA
"CT",2020-02-22,NA,NA,NA,NA,NA,NA
"CE",2020-02-22,NA,NA,NA,NA,NA,NA
"VC",2020-02-22,NA,NA,NA,NA,NA,NA
"EX",2020-02-22,NA,NA,NA,NA,NA,NA
"GA",2020-02-22,NA,NA,NA,NA,NA,NA
"MD",2020-02-22,NA,NA,NA,NA,NA,NA
"ME",2020-02-22,NA,NA,NA,NA,NA,NA
"MC",2020-02-22,NA,NA,NA,NA,NA,NA
"NC",2020-02-22,NA,NA,NA,NA,NA,NA
"PV",2020-02-22,NA,NA,NA,NA,NA,NA
"RI",2020-02-22,NA,NA,NA,NA,NA,NA
"AN",2020-02-23,NA,NA,NA,NA,NA,NA
"AR",2020-02-23,NA,NA,NA,NA,NA,NA
"AS",2020-02-23,NA,NA,NA,NA,NA,NA
"IB",2020-02-23,1,NA,NA,NA,NA,NA
"CN",2020-02-23,1,NA,NA,NA,NA,NA
"CB",2020-02-23,NA,NA,NA,NA,NA,NA
"CM",2020-02-23,NA,NA,NA,NA,NA,NA
"CL",2020-02-23,0,NA,NA,NA,NA,NA
"CT",2020-02-23,NA,NA,NA,NA,NA,NA
"CE",2020-02-23,NA,NA,NA,NA,NA,NA
"VC",2020-02-23,NA,NA,NA,NA,NA,NA
"EX",2020-02-23,NA,NA,NA,NA,NA,NA
"GA",2020-02-23,NA,NA,NA,NA,NA,NA
"MD",2020-02-23,NA,NA,NA,NA,NA,NA
"ME",2020-02-23,NA,NA,NA,NA,NA,NA
"MC",2020-02-23,NA,NA,NA,NA,NA,NA
"NC",2020-02-23,NA,NA,NA,NA,NA,NA
"PV",2020-02-23,NA,NA,NA,NA,NA,NA
"RI",2020-02-23,NA,NA,NA,NA,NA,NA
"AN",2020-02-24,NA,NA,NA,NA,NA,NA
"AR",2020-02-24,NA,NA,NA,NA,NA,NA
"AS",2020-02-24,NA,NA,NA,NA,NA,NA
"IB",2020-02-24,1,NA,NA,NA,NA,NA
"CN",2020-02-24,2,NA,NA,NA,NA,NA
"CB",2020-02-24,NA,NA,NA,NA,NA,NA
"CM",2020-02-24,NA,NA,NA,NA,NA,NA
"CL",2020-02-24,0,NA,NA,NA,NA,NA
"CT",2020-02-24,NA,NA,NA,NA,NA,NA
"CE",2020-02-24,NA,NA,NA,NA,NA,NA
"VC",2020-02-24,NA,NA,NA,NA,NA,NA
"EX",2020-02-24,NA,NA,NA,NA,NA,NA
"GA",2020-02-24,NA,NA,NA,NA,NA,NA
"MD",2020-02-24,NA,NA,NA,NA,NA,NA
"ME",2020-02-24,NA,NA,NA,NA,NA,NA
"MC",2020-02-24,NA,NA,NA,NA,NA,NA
"NC",2020-02-24,NA,NA,NA,NA,NA,NA
"PV",2020-02-24,NA,NA,NA,NA,NA,NA
"RI",2020-02-24,NA,NA,NA,NA,NA,NA
"AN",2020-02-25,NA,NA,NA,NA,NA,NA
"AR",2020-02-25,NA,NA,NA,NA,NA,NA
"AS",2020-02-25,NA,NA,NA,NA,NA,NA
"IB",2020-02-25,1,NA,NA,NA,NA,NA
"CN",2020-02-25,5,NA,NA,NA,NA,NA
"CB",2020-02-25,NA,NA,NA,NA,NA,NA
"CM",2020-02-25,NA,NA,NA,NA,NA,NA
"CL",2020-02-25,0,NA,NA,NA,NA,NA
"CT",2020-02-25,1,NA,NA,NA,NA,NA
"CE",2020-02-25,NA,NA,NA,NA,NA,NA
"VC",2020-02-25,1,NA,NA,NA,NA,NA
"EX",2020-02-25,NA,NA,NA,NA,NA,NA
"GA",2020-02-25,NA,NA,NA,NA,NA,NA
"MD",2020-02-25,2,NA,NA,NA,NA,NA
"ME",2020-02-25,NA,NA,NA,NA,NA,NA
"MC",2020-02-25,NA,NA,NA,NA,NA,NA
"NC",2020-02-25,NA,NA,NA,NA,NA,NA
"PV",2020-02-25,NA,NA,NA,NA,NA,NA
"RI",2020-02-25,NA,NA,NA,NA,NA,NA
"AN",2020-02-26,1,NA,NA,NA,NA,NA
"AR",2020-02-26,NA,NA,NA,NA,NA,NA
"AS",2020-02-26,NA,NA,NA,NA,NA,NA
"IB",2020-02-26,1,NA,NA,NA,NA,NA
"CN",2020-02-26,6,NA,NA,NA,NA,NA
"CB",2020-02-26,NA,NA,NA,NA,NA,NA
"CM",2020-02-26,NA,NA,NA,NA,NA,NA
"CL",2020-02-26,0,NA,NA,NA,NA,NA
"CT",2020-02-26,2,NA,NA,NA,NA,NA
"CE",2020-02-26,NA,NA,NA,NA,NA,NA
"VC",2020-02-26,2,NA,NA,NA,NA,NA
"EX",2020-02-26,NA,NA,NA,NA,NA,NA
"GA",2020-02-26,NA,NA,NA,NA,NA,NA
"MD",2020-02-26,4,NA,NA,NA,NA,NA
"ME",2020-02-26,NA,NA,NA,NA,NA,NA
"MC",2020-02-26,NA,NA,NA,NA,NA,NA
"NC",2020-02-26,NA,NA,NA,NA,NA,NA
"PV",2020-02-26,NA,NA,NA,NA,NA,NA
"RI",2020-02-26,NA,NA,NA,NA,NA,NA
"AN",2020-02-27,6,NA,NA,NA,NA,NA
"AR",2020-02-27,NA,NA,NA,NA,NA,NA
"AS",2020-02-27,NA,NA,NA,NA,NA,NA
"IB",2020-02-27,1,NA,NA,NA,NA,NA
"CN",2020-02-27,6,NA,NA,NA,NA,NA
"CB",2020-02-27,NA,NA,NA,NA,NA,NA
"CM",2020-02-27,NA,NA,NA,NA,NA,NA
"CL",2020-02-27,0,NA,NA,NA,NA,NA
"CT",2020-02-27,3,NA,NA,NA,NA,NA
"CE",2020-02-27,NA,NA,NA,NA,NA,NA
"VC",2020-02-27,8,NA,NA,NA,NA,NA
"EX",2020-02-27,NA,NA,NA,NA,NA,NA
"GA",2020-02-27,NA,NA,NA,NA,NA,NA
"MD",2020-02-27,5,NA,NA,NA,NA,NA
"ME",2020-02-27,NA,NA,NA,NA,NA,NA
"MC",2020-02-27,NA,NA,NA,NA,NA,NA
"NC",2020-02-27,NA,NA,NA,NA,NA,NA
"PV",2020-02-27,NA,NA,NA,NA,NA,NA
"RI",2020-02-27,NA,NA,NA,NA,NA,NA
"AN",2020-02-28,8,NA,NA,NA,NA,NA
"AR",2020-02-28,NA,NA,NA,NA,NA,NA
"AS",2020-02-28,NA,NA,NA,NA,NA,NA
"IB",2020-02-28,2,NA,NA,NA,NA,NA
"CN",2020-02-28,6,NA,NA,NA,NA,NA
"CB",2020-02-28,NA,NA,NA,NA,NA,NA
"CM",2020-02-28,NA,NA,NA,NA,NA,NA
"CL",2020-02-28,2,NA,NA,NA,NA,NA
"CT",2020-02-28,5,NA,NA,NA,NA,NA
"CE",2020-02-28,NA,NA,NA,NA,NA,NA
"VC",2020-02-28,10,NA,NA,NA,NA,NA
"EX",2020-02-28,NA,NA,NA,NA,NA,NA
"GA",2020-02-28,NA,NA,NA,NA,NA,NA
"MD",2020-02-28,8,NA,NA,NA,NA,NA
"ME",2020-02-28,NA,NA,NA,NA,NA,NA
"MC",2020-02-28,NA,NA,NA,NA,NA,NA
"NC",2020-02-28,NA,NA,NA,NA,NA,NA
"PV",2020-02-28,2,NA,NA,NA,NA,NA
"RI",2020-02-28,NA,NA,NA,NA,NA,NA
"AN",2020-02-29,12,NA,NA,NA,NA,NA
"AR",2020-02-29,NA,NA,NA,NA,NA,NA
"AS",2020-02-29,1,NA,NA,NA,NA,NA
"IB",2020-02-29,2,NA,NA,NA,NA,NA
"CN",2020-02-29,7,NA,NA,NA,NA,NA
"CB",2020-02-29,1,NA,NA,NA,NA,NA
"CM",2020-02-29,1,NA,NA,NA,NA,NA
"CL",2020-02-29,2,NA,NA,NA,NA,NA
"CT",2020-02-29,6,NA,NA,NA,NA,NA
"CE",2020-02-29,NA,NA,NA,NA,NA,NA
"VC",2020-02-29,15,NA,NA,NA,NA,NA
"EX",2020-02-29,4,NA,NA,NA,NA,NA
"GA",2020-02-29,NA,NA,NA,NA,NA,NA
"MD",2020-02-29,10,NA,NA,NA,NA,NA
"ME",2020-02-29,NA,NA,NA,NA,NA,NA
"MC",2020-02-29,NA,NA,NA,NA,NA,NA
"NC",2020-02-29,1,NA,NA,NA,NA,NA
"PV",2020-02-29,3,NA,NA,NA,NA,NA
"RI",2020-02-29,NA,NA,NA,NA,NA,NA
"AN",2020-03-01,12,NA,NA,NA,NA,NA
"AR",2020-03-01,NA,NA,NA,NA,NA,NA
"AS",2020-03-01,1,NA,NA,NA,NA,NA
"IB",2020-03-01,2,NA,NA,NA,NA,NA
