"CCAA.Codigo.ISO","ISO2","Fecha","Casos","Hospitalizados","UCI","Fallecidos","Recuperados","Casos_Activos","Casos_24h","Casos_Porc24h","Casos_Porcvar","Hospitalizados_24h","Hospitalizados_Porc24h","Hospitalizados_Porcvar","UCI_24h","UCI_Porc24h","UCI_Porcvar","Fallecidos_24h","Fallecidos_Porc24h","Fallecidos_Porcvar","Recuperados_24h","Recuperados_Porc24h","Recuperados_Porcvar","Casos_Activos_24h","Casos_Activos_Porc24h","Casos_Activos_Porcvar","tmstamp"
"ES","ES",2020-02-20,2,0,0,0,0,2,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-21,2,0,0,0,0,2,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-22,2,0,0,0,0,2,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-23,2,0,0,0,0,2,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-24,3,0,0,0,0,3,1,0.5,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,0.5,NA,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-25,10,0,0,0,0,10,7,2.33333333333333,3.666667,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7,2.33333333333333,3.666667,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-26,16,0,0,0,0,16,6,0.6,-0.742857,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,0.6,-0.742857,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-27,29,0,0,0,0,29,13,0.8125,0.354167,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,13,0.8125,0.354167,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-28,43,0,0,0,0,43,14,0.482758620689655,-0.405836,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,14,0.482758620689655,-0.405836,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-02-29,65,0,0,0,0,65,22,0.511627906976744,0.059801,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,22,0.511627906976744,0.059801,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-01,113,0,0,0,0,113,48,0.738461538461539,0.443357,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,48,0.738461538461539,0.443357,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-02,148,0,0,0,0,148,35,0.309734513274336,-0.580568,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,35,0.309734513274336,-0.580568,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-03,194,0,0,0,0,194,46,0.310810810810811,0.003475,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,46,0.310810810810811,0.003475,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-04,238,0,0,0,0,238,44,0.22680412371134,-0.270282,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,44,0.22680412371134,-0.270282,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-05,364,0,0,0,0,364,126,0.529411764705882,1.334225,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,126,0.529411764705882,1.334225,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-06,386,0,0,0,0,386,22,0.0604395604395604,-0.885836,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,22,0.0604395604395604,-0.885836,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-07,526,0,0,0,0,526,140,0.362694300518135,5.000942,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,140,0.362694300518135,5.000942,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-08,1006,0,74,28,23,955,480,0.91254752851711,1.516024,0,NA,NA,74,NA,NA,28,NA,NA,23,NA,NA,429,0.815589353612167,1.248696,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-09,1606,0,101,36,135,1435,600,0.596421471172962,-0.346421,0,NA,NA,27,0.364864864864865,NA,8,0.285714285714286,NA,112,4.8695652173913,NA,480,0.50261780104712,-0.383737,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-10,2117,236,142,48,182,1887,511,0.318181818181818,-0.466515,236,NA,NA,41,0.405940594059406,0.112578,12,0.333333333333333,0.166667,47,0.348148148148148,-0.928505,452,0.314982578397213,-0.373316,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-11,2929,399,188,84,189,2656,812,0.383561643835616,0.205479,163,0.690677966101695,NA,46,0.323943661971831,-0.201992,36,0.75,1.25,7,0.0384615384615385,-0.889525,769,0.407525172231055,0.293802,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-12,4130,1858,270,120,181,3829,1201,0.410037555479686,0.069026,1459,3.65664160401003,4.294279,82,0.436170212765957,0.346438,36,0.428571428571429,-0.428571,-8,-0.0423280423280423,-2.100529,1173,0.44164156626506,0.083716,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-13,5844,2120,296,134,512,5198,1714,0.41501210653753,0.012132,262,0.141011840688913,-0.961437,26,0.0962962962962963,-0.779223,14,0.116666666666667,-0.727778,331,1.82872928176796,-44.203729,1369,0.357534604335336,-0.190442,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-14,7698,3096,383,285,517,6896,1854,0.317248459958932,-0.235568,976,0.460377358490566,2.264813,87,0.293918918918919,2.052235,151,1.12686567164179,8.658849,5,0.009765625,-0.99466,1698,0.32666410157753,-0.086343,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-15,9149,3435,416,306,530,8313,1451,0.188490517017407,-0.405858,339,0.109496124031008,-0.76216,33,0.0861618798955614,-0.706852,21,0.0736842105263158,-0.934611,13,0.0251450676982592,1.574855,1417,0.205481438515081,-0.37097,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-16,11178,5136,563,491,1028,9659,2029,0.22177287135206,0.176573,1701,0.495196506550218,3.522503,147,0.353365384615385,3.10118,185,0.604575163398693,7.204949,498,0.939622641509434,36.36807,1346,0.161915072777577,-0.212021,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-17,13716,5759,774,598,1081,12037,2538,0.227053140096618,0.023809,623,0.12130062305296,-0.755045,211,0.374777975133215,0.060596,107,0.217922606924644,-0.639544,53,0.051556420233463,-0.945131,2378,0.246195258308313,0.520521,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-18,17147,7619,939,767,1107,15273,3431,0.250145815106445,0.101706,1860,0.322972738322625,1.662581,165,0.213178294573643,-0.431188,169,0.282608695652174,0.296831,26,0.0240518038852914,-0.533486,3236,0.268837750270001,0.09197,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-19,19980,10418,1125,982,1545,17453,2833,0.165218405551992,-0.339512,2799,0.367371046069038,0.137468,186,0.198083067092652,-0.07081,215,0.280312907431552,-0.008124,438,0.395663956639566,15.45049,2180,0.142735546389053,-0.469064,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-20,24926,13282,1612,1326,2089,21511,4946,0.247547547547548,0.498305,2864,0.274908811672106,-0.251686,487,0.432888888888889,1.185391,344,0.35030549898167,0.249695,544,0.35210355987055,-0.110094,4058,0.232510170171317,0.628958,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-21,28572,15554,1785,1720,2575,24277,3646,0.146272967985236,-0.409112,2272,0.171058575515736,-0.377762,173,0.107320099255583,-0.752084,394,0.297134238310709,-0.151785,486,0.232647199617042,-0.339265,2766,0.128585374924457,-0.446969,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-22,33089,18374,2355,2182,3382,27525,4517,0.158091838163237,0.0808,2820,0.181303844670181,0.059893,570,0.319327731092437,1.97547,462,0.268604651162791,-0.096016,807,0.313398058252427,0.347096,3248,0.133789183177493,0.04047,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-23,39673,22762,2636,2696,3794,33183,6584,0.1989785124966,0.258626,4388,0.238815717862197,0.317213,281,0.11932059447983,-0.626338,514,0.235563703024748,-0.12301,412,0.121821407451212,-0.611289,5658,0.205558583106267,0.536436,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-24,47610,26960,3166,3434,5367,38809,7937,0.200060494542888,0.005438,4198,0.184430190668658,-0.22773,530,0.201062215477997,0.685059,738,0.273738872403561,0.162059,1573,0.414602003162889,2.403359,5626,0.169544646355061,-0.1752,"2020-04-07 14:26:04 UTC"
"ES","ES",2020-03-25,56188,31912,3679,4089,7015,45084,8578,0.180172232724218,-0.099411,4952,0.183679525222552,-0.00407,513,0.162034112444725,-0.19411,655,0.190739662201514,-0.303206,1648,0.307061673188001,-0.259382,6275,0.161689298873973,-0.046332,"2020-04-07 14:26:04 UTC"
