"NUTS0","NUTS0_Label","NUTS1_Label","NUTS1","NUTS2_Label","NUTS2","NUTS3_Label","NUTS3","ISO1_2","ISO1_3","ISO1_N","ISO2","ISO2_CCAA","ISO3","ISO3_PROV"
"ES","España","Sur","ES6","Andalucía","ES61","Almería","ES611","ES","ESP",724,"ES-AN","Andalucía","ES-AL","Almería"
"ES","España","Sur","ES6","Andalucía","ES61","Cádiz","ES612","ES","ESP",724,"ES-AN","Andalucía","ES-CA","Cádiz"
"ES","España","Sur","ES6","Andalucía","ES61","Córdoba","ES613","ES","ESP",724,"ES-AN","Andalucía","ES-CO","Córdoba"
"ES","España","Sur","ES6","Andalucía","ES61","Granada","ES614","ES","ESP",724,"ES-AN","Andalucía","ES-GR","Granada"
"ES","España","Sur","ES6","Andalucía","ES61","Huelva","ES615","ES","ESP",724,"ES-AN","Andalucía","ES-H","Huelva"
"ES","España","Sur","ES6","Andalucía","ES61","Jaén","ES616","ES","ESP",724,"ES-AN","Andalucía","ES-J","Jaén"
"ES","España","Sur","ES6","Andalucía","ES61","Málaga","ES617","ES","ESP",724,"ES-AN","Andalucía","ES-MA","Málaga"
"ES","España","Sur","ES6","Andalucía","ES61","Sevilla","ES618","ES","ESP",724,"ES-AN","Andalucía","ES-SE","Sevilla"
"ES","España","Noreste","ES2","Aragón","ES24","Huesca","ES241","ES","ESP",724,"ES-AR","Aragón","ES-HU","Huesca"
"ES","España","Noreste","ES2","Aragón","ES24","Teruel","ES242","ES","ESP",724,"ES-AR","Aragón","ES-TE","Teruel"
"ES","España","Noreste","ES2","Aragón","ES24","Zaragoza","ES243","ES","ESP",724,"ES-AR","Aragón","ES-Z","Zaragoza"
"ES","España","Noroeste","ES1","Principado de Asturias","ES12","Principado de Asturias","ES120","ES","ESP",724,"ES-AS","Asturias","ES-O","Principado de Asturias"
"ES","España","Noroeste","ES1","Cantabria","ES13","Cantabria","ES130","ES","ESP",724,"ES-CB","Cantabria","ES-S","Cantabria"
"ES","España","Sur","ES6","Ciudad Autónoma de Ceuta","ES63","Ceuta","ES630","ES","ESP",724,"ES-CE","Ceuta","ES-CE","Ceuta"
"ES","España","Centro","ES4","Castilla y León","ES41","Ávila","ES411","ES","ESP",724,"ES-CL","Castilla y León","ES-AV","Ávila"
"ES","España","Centro","ES4","Castilla y León","ES41","Burgos","ES412","ES","ESP",724,"ES-CL","Castilla y León","ES-BU","Burgos"
"ES","España","Centro","ES4","Castilla y León","ES41","León","ES413","ES","ESP",724,"ES-CL","Castilla y León","ES-LE","León"
"ES","España","Centro","ES4","Castilla y León","ES41","Palencia","ES414","ES","ESP",724,"ES-CL","Castilla y León","ES-P","Palencia"
"ES","España","Centro","ES4","Castilla y León","ES41","Salamanca","ES415","ES","ESP",724,"ES-CL","Castilla y León","ES-SA","Salamanca"
"ES","España","Centro","ES4","Castilla y León","ES41","Segovia","ES416","ES","ESP",724,"ES-CL","Castilla y León","ES-SG","Segovia"
"ES","España","Centro","ES4","Castilla y León","ES41","Soria","ES417","ES","ESP",724,"ES-CL","Castilla y León","ES-SO","Soria"
"ES","España","Centro","ES4","Castilla y León","ES41","Valladolid","ES418","ES","ESP",724,"ES-CL","Castilla y León","ES-VA","Valladolid"
"ES","España","Centro","ES4","Castilla y León","ES41","Zamora","ES419","ES","ESP",724,"ES-CL","Castilla y León","ES-ZA","Zamora"
"ES","España","Centro","ES4","Castilla-La Mancha","ES42","Albacete","ES421","ES","ESP",724,"ES-CM","Castilla-La Mancha","ES-AB","Albacete"
"ES","España","Centro","ES4","Castilla-La Mancha","ES42","Ciudad Real","ES422","ES","ESP",724,"ES-CM","Castilla-La Mancha","ES-CR","Ciudad Real"
"ES","España","Centro","ES4","Castilla-La Mancha","ES42","Cuenca","ES423","ES","ESP",724,"ES-CM","Castilla-La Mancha","ES-CU","Cuenca"
"ES","España","Centro","ES4","Castilla-La Mancha","ES42","Guadalajara","ES424","ES","ESP",724,"ES-CM","Castilla-La Mancha","ES-GU","Guadalajara"
"ES","España","Centro","ES4","Castilla-La Mancha","ES42","Toledo","ES425","ES","ESP",724,"ES-CM","Castilla-La Mancha","ES-TO","Toledo"
"ES","España","Canarias","ES7","Canarias","ES70","Fuerteventura","ES704","ES","ESP",724,"ES-CN","Canarias","ES-GC","Las Palmas"
"ES","España","Canarias","ES7","Canarias","ES70","Gran Canaria","ES705","ES","ESP",724,"ES-CN","Canarias","ES-GC","Las Palmas"
"ES","España","Canarias","ES7","Canarias","ES70","Lanzarote","ES708","ES","ESP",724,"ES-CN","Canarias","ES-GC","Las Palmas"
"ES","España","Canarias","ES7","Canarias","ES70","El Hierro","ES703","ES","ESP",724,"ES-CN","Canarias","ES-TF","Santa Cruz de Tenerife"
"ES","España","Canarias","ES7","Canarias","ES70","La Gomera","ES706","ES","ESP",724,"ES-CN","Canarias","ES-TF","Santa Cruz de Tenerife"
"ES","España","Canarias","ES7","Canarias","ES70","La Palma","ES707","ES","ESP",724,"ES-CN","Canarias","ES-TF","Santa Cruz de Tenerife"
"ES","España","Canarias","ES7","Canarias","ES70","Tenerife","ES709","ES","ESP",724,"ES-CN","Canarias","ES-TF","Santa Cruz de Tenerife"
"ES","España","Este","ES5","Cataluña","ES51","Barcelona","ES511","ES","ESP",724,"ES-CT","Cataluña","ES-B","Barcelona"
"ES","España","Este","ES5","Cataluña","ES51","Gerona","ES512","ES","ESP",724,"ES-CT","Cataluña","ES-GI","Gerona"
"ES","España","Este","ES5","Cataluña","ES51","Lérida","ES513","ES","ESP",724,"ES-CT","Cataluña","ES-L","Lérida"
"ES","España","Este","ES5","Cataluña","ES51","Tarragona","ES514","ES","ESP",724,"ES-CT","Cataluña","ES-T","Tarragona"
"ES","España","Centro","ES4","Extremadura","ES43","Badajoz","ES431","ES","ESP",724,"ES-EX","Extremadura","ES-BA","Badajoz"
"ES","España","Centro","ES4","Extremadura","ES43","Cáceres","ES432","ES","ESP",724,"ES-EX","Extremadura","ES-CC","Cáceres"
"ES","España","Noroeste","ES1","Galicia","ES11","A Coruña","ES111","ES","ESP",724,"ES-GA","Galicia","ES-C","A Coruña"
"ES","España","Noroeste","ES1","Galicia","ES11","Lugo","ES112","ES","ESP",724,"ES-GA","Galicia","ES-LU","Lugo"
"ES","España","Noroeste","ES1","Galicia","ES11","Orense","ES113","ES","ESP",724,"ES-GA","Galicia","ES-OR","Orense"
"ES","España","Noroeste","ES1","Galicia","ES11","Pontevedra","ES114","ES","ESP",724,"ES-GA","Galicia","ES-PO","Pontevedra"
"ES","España","Este","ES5","Islas Baleares","ES53","Ibiza y Formentera","ES531","ES","ESP",724,"ES-IB","Baleares","ES-PM","Baleares"
"ES","España","Este","ES5","Islas Baleares","ES53","Mallorca","ES532","ES","ESP",724,"ES-IB","Baleares","ES-PM","Baleares"
"ES","España","Este","ES5","Islas Baleares","ES53","Menorca","ES533","ES","ESP",724,"ES-IB","Baleares","ES-PM","Baleares"
"ES","España","Sur","ES6","Región de Murcia","ES62","Región de Murcia","ES620","ES","ESP",724,"ES-MC","Murcia","ES-MU","Murcia"
"ES","España","Comunidad de Madrid","ES3","Comunidad de Madrid","ES30","Comunidad de Madrid","ES300","ES","ESP",724,"ES-MD","Madrid","ES-M","Madrid"
"ES","España","Sur","ES6","Ciudad Autónoma de Melilla","ES64","Melilla","ES640","ES","ESP",724,"ES-ML","Melilla","ES-ML","Melilla"
"ES","España","Noreste","ES2","Comunidad Foral de Navarra","ES22","Comunidad Foral de Navarra","ES220","ES","ESP",724,"ES-NC","Navarra","ES-NA","Navarra"
"ES","España","Noreste","ES2","País Vasco","ES21","Álava","ES211","ES","ESP",724,"ES-PV","País Vasco","ES-VI","Álava"
"ES","España","Noreste","ES2","País Vasco","ES21","Guipúzcoa","ES212","ES","ESP",724,"ES-PV","País Vasco","ES-SS","Guipúzcoa"
"ES","España","Noreste","ES2","País Vasco","ES21","Vizcaya","ES213","ES","ESP",724,"ES-PV","País Vasco","ES-BI","Vizcaya"
"ES","España","Noreste","ES2","La Rioja","ES23","La Rioja","ES230","ES","ESP",724,"ES-RI","La Rioja","ES-LO","La Rioja"
"ES","España","Este","ES5","Comunidad Valenciana","ES52","Alicante","ES521","ES","ESP",724,"ES-VC","Comunidad Valenciana","ES-A","Alicante"
"ES","España","Este","ES5","Comunidad Valenciana","ES52","Castellón","ES522","ES","ESP",724,"ES-VC","Comunidad Valenciana","ES-CS","Castellón"
"ES","España","Este","ES5","Comunidad Valenciana","ES52","Valencia","ES523","ES","ESP",724,"ES-VC","Comunidad Valenciana","ES-V","Valencia"
