"fecha","cod_ine","CCAA","total","TMSTAMP"
"2020-03-03",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-13",1,"Andalucía",0,"2020-03-29 06:29:47 UTC"
"2020-03-14",1,"Andalucía",2,"2020-03-29 06:29:47 UTC"
"2020-03-15",1,"Andalucía",6,"2020-03-29 06:29:47 UTC"
"2020-03-16",1,"Andalucía",7,"2020-03-29 06:29:47 UTC"
"2020-03-17",1,"Andalucía",11,"2020-03-29 06:29:47 UTC"
"2020-03-18",1,"Andalucía",19,"2020-03-29 06:29:47 UTC"
"2020-03-19",1,"Andalucía",23,"2020-03-29 06:29:47 UTC"
"2020-03-20",1,"Andalucía",30,"2020-03-29 06:29:47 UTC"
"2020-03-21",1,"Andalucía",40,"2020-03-29 06:29:47 UTC"
"2020-03-22",1,"Andalucía",47,"2020-03-29 06:29:47 UTC"
"2020-03-23",1,"Andalucía",58,"2020-03-29 06:29:47 UTC"
"2020-03-24",1,"Andalucía",87,"2020-03-29 06:29:47 UTC"
"2020-03-25",1,"Andalucía",113,"2020-03-29 06:29:47 UTC"
"2020-03-26",1,"Andalucía",134,"2020-03-29 06:29:47 UTC"
"2020-03-27",1,"Andalucía",144,"2020-03-29 06:29:47 UTC"
"2020-03-28",1,"Andalucía",175,"2020-03-29 06:29:47 UTC"
