"","CCAA.Codigo.ISO","Fecha","Casos","Hospitalizados","UCI","Fallecidos","Recuperados","tmstamp","ISO2"
"1","AN",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-AN"
"2","AR",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-AR"
"3","AS",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-AS"
"4","IB",2020-02-20,1,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-IB"
"5","CN",2020-02-20,1,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-CN"
"6","CB",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-CB"
"7","CM",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-CM"
"8","CL",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-CL"
"9","CT",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-CT"
"10","CE",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-CE"
"11","VC",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-VC"
"12","EX",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-EX"
"13","GA",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-GA"
"14","MD",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-MD"
"15","ML",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-ML"
"16","MC",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-MC"
"17","NC",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-NC"
"18","PV",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-PV"
"19","RI",2020-02-20,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-RI"
"20","AN",2020-02-21,0,0,0,0,0,"2020-04-05 10:54:08 UTC","ES-AN"
