"cod_ine","CCAA","NUTS_ID","Label"
1,"Andalucía","ES61","Andalucía"
2,"Aragón","ES24","Aragón"
3,"Asturias","ES12","Asturias"
4,"Baleares","ES53","Baleares"
5,"Canarias","ES70","Canarias"
6,"Cantabria","ES13","Cantabria"
8,"Castilla-La Mancha","ES42","Castilla-La Mancha"
7,"Castilla y León","ES41","Castilla y León"
9,"Cataluña","ES51","Cataluña"
18,"Ceuta","ES63","Ceuta"
10,"C. Valenciana","ES52","Comunidad Valenciana"
11,"Extremadura","ES43","Extremadura"
12,"Galicia","ES11","Galicia"
13,"Madrid","ES30","Madrid"
19,"Melilla","ES64","Melilla"
14,"Murcia","ES62","Murcia"
15,"Navarra","ES22","Navarra"
16,"País Vasco","ES21","País Vasco"
17,"La Rioja","ES23","La Rioja"
